condition,task_id,episode_idx,completed,success,steps,infer_calls,failure_reason,failure_mode,video_path,source
guard_wrist_zero_all,0,0,True,False,,48,,perturbation-induced perception failure,episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episode_log.json
guard_wrist_zero_all,0,1,True,False,,61,,perturbation-induced perception failure,episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episode_log.json
guard_wrist_zero_all,0,2,True,False,,53,,perturbation-induced perception failure,episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episode_log.json
guard_wrist_zero_all,1,0,True,False,,48,,perturbation-induced perception failure,episodes/task01_ep000_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task1_seed7_n3/episode_log.json
guard_wrist_zero_all,1,1,True,False,,49,,perturbation-induced perception failure,episodes/task01_ep001_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task1_seed7_n3/episode_log.json
guard_wrist_zero_all,1,2,True,False,,48,,perturbation-induced perception failure,episodes/task01_ep002_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task1_seed7_n3/episode_log.json
guard_wrist_zero_all,2,0,True,False,,44,,perturbation-induced perception failure,episodes/task02_ep000_put_the_wine_bottle_on_top_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task2_seed7_n3/episode_log.json
guard_wrist_zero_all,2,1,True,False,,43,,perturbation-induced perception failure,episodes/task02_ep001_put_the_wine_bottle_on_top_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task2_seed7_n3/episode_log.json
guard_wrist_zero_all,2,2,True,False,,39,,perturbation-induced perception failure,episodes/task02_ep002_put_the_wine_bottle_on_top_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task2_seed7_n3/episode_log.json
guard_wrist_zero_every4,0,0,True,True,,11,,no failure,episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task0_seed7_n5/episode_log.json
guard_wrist_zero_every4,0,1,True,False,,31,,perturbation-induced perception failure,episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task0_seed7_n5/episode_log.json
guard_wrist_zero_every4,0,2,True,False,,33,,perturbation-induced perception failure,episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task0_seed7_n5/episode_log.json
guard_wrist_zero_every4,0,3,True,True,,14,,no failure,episodes/task00_ep003_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task0_seed7_n5/episode_log.json
guard_wrist_zero_every4,0,4,True,False,,43,,perturbation-induced perception failure,episodes/task00_ep004_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task0_seed7_n5/episode_log.json
guard_wrist_zero_every4,1,0,True,False,,38,,perturbation-induced perception failure,episodes/task01_ep000_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task1_seed7_n5/episode_log.json
guard_wrist_zero_every4,1,1,True,False,,37,,perturbation-induced perception failure,episodes/task01_ep001_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task1_seed7_n5/episode_log.json
guard_wrist_zero_every4,1,2,True,False,,40,,perturbation-induced perception failure,episodes/task01_ep002_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task1_seed7_n5/episode_log.json
guard_wrist_zero_every4,1,3,True,False,,37,,perturbation-induced perception failure,episodes/task01_ep003_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task1_seed7_n5/episode_log.json
guard_wrist_zero_every4,1,4,True,False,,38,,perturbation-induced perception failure,episodes/task01_ep004_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task1_seed7_n5/episode_log.json
guard_wrist_zero_every4,2,0,True,True,,12,,no failure,episodes/task02_ep000_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task2_seed7_n5/episode_log.json
guard_wrist_zero_every4,2,1,True,False,,45,,perturbation-induced perception failure,episodes/task02_ep001_put_the_wine_bottle_on_top_of_the_cabinet_failure/rollout_failure.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task2_seed7_n5/episode_log.json
guard_wrist_zero_every4,2,2,True,True,,12,,no failure,episodes/task02_ep002_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task2_seed7_n5/episode_log.json
guard_wrist_zero_every4,2,3,True,True,,13,,no failure,episodes/task02_ep003_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task2_seed7_n5/episode_log.json
guard_wrist_zero_every4,2,4,True,True,,15,,no failure,episodes/task02_ep004_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_every4_task2_seed7_n5/episode_log.json
